"Subject","Objet"
"Thank you for providing your feedback.","Merci pour votre retour."
"Click here","Cliquez ici"
"to view your feedback.","pour afficher votre retour."
"Help us improve by providing your feedback.","Aidez‑nous à nous améliorer en nous donnant votre avis."
"Submit Feedback","Envoyer le retour"
"Average Feedback Received","Retour moyen reçu"
"View all feedback","Voir tous les retours"
"No feedback received yet.","Aucun retour reçu pour le moment."
"Choose an existing question","Choisir une question existante"
"Options","Options"
"Possibilities","Possibilités"
"Option","Option"
"Explanation","Explication"
"Correct Answer","Réponse correcte"
"Select a question","Sélectionner une question"
"Test Quiz","Quiz de test"
"Questions","Questions"
"New Question","Nouvelle question"
"No questions added yet","Aucune question ajoutée pour l’instant"
"Answer","Réponse"
"My availability","Ma disponibilité"
"Day","Jour"
"Start Time","Heure de début"
"End Time","Heure de fin"
"Add Slot","Ajouter un créneau"
"I am unavailable","Je ne suis pas disponible"
"My calendar","Mon calendrier"
"Your calendar is set.","Votre calendrier est configuré."
"Authorize Google Calendar Access","Autoriser l'accès à Google Agenda"
"{0} Exercises","{0} exercices"
"Unpublished","Non publié"
"No {0}","Aucun {0}"
"There are no {0} currently. Keep an eye out, fresh learning experiences are on the way!","Il n’y a actuellement aucun {0}. Restez à l’affût, de nouvelles expériences d’apprentissage arrivent bientôt !"
"courses","cours"
"Courses","Cours"
"completed","terminé"
"% completed","% terminé"
"Skip","Ignorer"
"Create your first course","Créez votre premier cours"
"Add your first chapter","Ajoutez votre premier chapitre"
"Add your first lesson","Ajoutez votre première leçon"
"Create your first quiz","Créez votre premier quiz"
"Invite your team and students","Invitez votre équipe et vos étudiants"
"Create your first batch","Créez votre première session"
"Add students to your batch","Ajoutez des étudiants à votre session"
"Add courses to your batch","Ajoutez des cours à votre session"
"More","Plus"
"Certified Members","Membres certifiés"
"Statistics","Statistiques"
"Jobs","Emplois"
"Batches","Sessions"
"Programs","Programmes"
"Programming Exercises","Exercices de programmation"
"Quizzes","Quiz"
"Assignments","Affectations"
"Learning","Apprentissage"
"Introduction","Introduction"
"Setting up","Configuration"
"Creating a course","Créer un cours"
"Create a course","Créer un cours"
"Add a chapter","Ajouter un chapitre"
"Add a lesson","Ajouter une leçon"
"Creating a batch","Créer une session"
"Create a batch","Créer une session"
"Create a live class","Créer une classe en direct"
"Assessments","Évaluations"
"Certification","Certification"
"Issue a Certificate","Délivrer un certificat"
"Custom Certificate Templates","Modèles de certificats personnalisés"
"Monetization","Monétisation"
"Setting up payment gateway","Configuration de la passerelle de paiement"
"Settings","Paramètres"
"Roles","Rôles"
"My Profile","Mon profil"
"Toggle Theme","Changer de thème"
"Apps","Applications"
"Log out","Se déconnecter"
"Signups","Inscriptions"
"Signups per month","Inscriptions par mois"
"Enrollments","Inscriptions"
"Enrollments per month","Inscriptions par mois"
"Certifications","Certifications"
"Certifications per month","Certifications par mois"
"Completions","Cours terminés"
"Total Signups","Inscriptions totales"
"Enrollment Count","Nombre d’inscriptions"
"Courses Completed","Cours terminés"
"Lessons Completed","Leçons terminées"
